Date	AMZN	MSFT	NFLX	SPY
2005-11-01	48.459999084472656	20.108333587646484	3.9342856407165527	92.64653015136719
2005-11-15				
2005-12-01	47.150001525878906	19.052539825439453	3.8657143115997314	91.9816665649414
2005-12-16				
2006-01-01	44.81999969482422	20.50971221923828	3.9357142448425293	94.6898193359375
2006-02-01	37.439998626708984	19.577119827270508	3.8299999237060547	95.23196411132812
2006-02-15				
2006-03-01	36.529998779296875	19.892026901245117	4.141428470611572	96.42021179199219
2006-03-17				
2006-04-01	35.209999084472656	17.654991149902344	4.234285831451416	98.02647399902344
2006-05-01	34.61000061035156	16.55841064453125	3.955714225769043	95.07382202148438
2006-05-15				
2006-06-01	38.68000030517578	17.100017547607422	3.8871428966522217	94.90234375
2006-06-16				
2006-07-01	26.889999389648438	17.65778160095215	2.955714225769043	95.74869537353516
2006-08-01	30.829999923706055	18.861391067504883	2.859999895095825	97.83817291259766
2006-08-15				
2006-09-01	32.119998931884766	20.146257400512695	3.2542858123779297	100.03995513916016
2006-09-15				
2006-10-01	38.09000015258789	21.148033142089844	3.9514286518096924	103.64672088623047
2006-11-01	40.34000015258789	21.626834869384766	4.182857036590576	105.70777893066406
2006-11-14				
2006-12-01	39.459999084472656	22.070343017578125	3.6942856311798096	106.52769470214844
2006-12-15				
2007-01-01	37.66999816894531	22.809457778930664	3.2585713863372803	108.73237609863281
2007-02-01	39.13999938964844	20.82120704650879	3.218571424484253	106.59929656982422
2007-02-13				
2007-03-01	39.790000915527344	20.6708984375	3.312857151031494	107.40864562988281
2007-03-16				
2007-04-01	61.33000183105469	22.206199645996094	3.167142868041992	112.61127471923828
2007-05-01	69.13999938964844	22.762468338012695	3.1285715103149414	116.43111419677734
2007-05-15				
2007-06-01	68.41000366210938	21.92841339111328	2.7699999809265137	114.23638916015625
2007-06-15				
2007-07-01	78.54000091552734	21.571245193481445	2.461428642272949	111.13658142089844
2007-08-01	79.91000366210938	21.377779006958008	2.502857208251953	112.56278991699219
2007-08-14				
2007-09-01	93.1500015258789	21.997800827026367	2.9642856121063232	116.36849975585938
2007-09-21				
2007-10-01	89.1500015258789	27.486061096191406	3.781428575515747	118.50677490234375
2007-11-01	90.55999755859375	25.089139938354492	3.299999952316284	113.91669464111328
2007-11-13				
2007-12-01	92.63999938964844	26.670438766479492	3.8028571605682373	112.03929901123047
2007-12-21				
2008-01-01	77.69999694824219	24.42292022705078	3.5928571224212646	105.8239517211914
2008-02-01	64.47000122070312	20.377412796020508	4.511428356170654	103.08919525146484
2008-02-19				
2008-03-01	71.30000305175781	21.34404945373535	4.949999809265137	101.66401672363281
2008-03-20				
2008-04-01	78.62999725341797	21.4493350982666	4.5685715675354	107.03687286376953
2008-05-01	81.62000274658203	21.298913955688477	4.3371429443359375	108.6548843383789
2008-05-13				
2008-06-01	73.33000183105469	20.765901565551758	3.72428560256958	99.07839965820312
2008-06-20				
2008-07-01	76.33999633789062	19.414716720581055	4.4128570556640625	98.67922973632812
2008-08-01	80.80999755859375	20.599834442138672	4.405714511871338	100.2042007446289
