Date	ID	PS
2008-04-30	NFLX	1.60526
2008-05-30	AMZN	2.13309
2008-05-30	MSFT	4.54946
2008-05-30	NFLX	1.52395
2008-06-30	AMZN	1.91643
2008-06-30	MSFT	4.41933
2008-06-30	NFLX	1.30861
2008-07-31	AMZN	1.89814
2008-07-31	MSFT	3.89546
2008-07-31	NFLX	1.55055
2008-08-29	AMZN	2.00928
2008-08-29	MSFT	4.13325
2008-08-29	NFLX	1.51519
2008-09-30	AMZN	1.80913
2008-09-30	MSFT	4.04237
2008-09-30	NFLX	1.51715
2008-10-31	AMZN	1.35406
2008-10-31	MSFT	3.24789
2008-10-31	NFLX	1.11962
2008-11-28	AMZN	1.01011
2008-11-28	MSFT	2.94099
2008-11-28	NFLX	1.03913
2008-12-31	AMZN	1.21308
2008-12-31	MSFT	2.82754
2008-12-31	NFLX	1.35159
2009-01-30	AMZN	1.31352
2009-01-30	MSFT	2.4524
2009-01-30	NFLX	1.55884
2009-02-27	AMZN	1.44684
2009-02-27	MSFT	2.31615
2009-02-27	NFLX	1.56315
2009-03-31	AMZN	1.64
2009-03-31	MSFT	2.63453
2009-03-31	NFLX	1.85129
2009-04-30	AMZN	1.73409
2009-04-30	MSFT	2.94685
2009-04-30	NFLX	1.8501
2009-05-29	AMZN	1.6796
2009-05-29	MSFT	3.03848
2009-05-29	NFLX	1.6096
2009-06-30	AMZN	1.80171
2009-06-30	MSFT	3.45738
2009-06-30	NFLX	1.688
2009-07-31	AMZN	1.80653
2009-07-31	MSFT	3.58533
2009-07-31	NFLX	1.67802
2009-08-31	AMZN	1.71026
2009-08-31	MSFT	3.75759
2009-08-31	NFLX	1.66618
2009-09-30	AMZN	1.96662
2009-09-30	MSFT	3.9207
2009-09-30	NFLX	1.76318
2009-10-30	AMZN	2.37149
2009-10-30	MSFT	4.39712
2009-10-30	NFLX	1.84231
2009-11-30	AMZN	2.71281
2009-11-30	MSFT	4.66351
2009-11-30	NFLX	2.02085
2009-12-31	AMZN	2.68507
2009-12-31	MSFT	4.83318
2009-12-31	NFLX	1.89884
2010-01-29	AMZN	2.2719
2010-01-29	MSFT	4.24783
2010-01-29	NFLX	1.99168
2010-02-26	AMZN	2.14491
2010-02-26	MSFT	4.32169
2010-02-26	NFLX	2.11326
2010-03-31	AMZN	2.45958
2010-03-31	MSFT	4.41477
2010-03-31	NFLX	2.3593
2010-04-30	AMZN	2.28577
2010-04-30	MSFT	4.51771
2010-04-30	NFLX	2.92044
2010-05-31	AMZN	2.0917
2010-05-31	MSFT	3.81716
2010-05-31	NFLX	3.28217
2010-06-30	AMZN	1.82161
2010-06-30	MSFT	3.40437
2010-06-30	NFLX	3.20835
2010-07-30	AMZN	1.84242
2010-07-30	MSFT	3.599
2010-07-30	NFLX	2.85429
2010-08-31	AMZN	1.95088
2010-08-31	MSFT	3.27201
2010-08-31	NFLX	3.49361
2010-09-30	AMZN	2.45458
2010-09-30	MSFT	3.41494
2010-09-30	NFLX	4.51342
2010-10-29	AMZN	2.41051
2010-10-29	MSFT	3.48441
2010-10-29	NFLX	4.50981
2010-11-30	AMZN	2.55888
2010-11-30	MSFT	3.30049
2010-11-30	NFLX	5.34983
2010-12-31	AMZN	2.62599
2010-12-31	MSFT	3.6471
2010-12-31	NFLX	4.56515
2011-01-31	AMZN	2.23674
2011-01-31	MSFT	3.50515
2011-01-31	NFLX	5.22493
2011-02-28	AMZN	2.28486
2011-02-28	MSFT	3.36039
2011-02-28	NFLX	5.04408
2011-03-31	AMZN	2.37505
2011-03-31	MSFT	3.20994
2011-03-31	NFLX	5.80336
2011-04-29	AMZN	2.39653
2011-04-29	MSFT	3.19136
2011-04-29	NFLX	5.11814
2011-05-31	AMZN	2.4073
2011-05-31	MSFT	3.07932
2011-05-31	NFLX	5.95691
2011-06-30	AMZN	2.50276
2011-06-30	MSFT	3.20121
2011-06-30	NFLX	5.77851
2011-07-29	AMZN	2.50817
2011-07-29	MSFT	3.28781
2011-07-29	NFLX	5.26074
2011-08-31	AMZN	2.426
2011-08-31	MSFT	3.19182
2011-08-31	NFLX	4.64802
2011-09-30	AMZN	2.43727
2011-09-30	MSFT	2.98663
2011-09-30	NFLX	2.24025
2011-10-31	AMZN	2.22845
2011-10-31	MSFT	3.14929
2011-10-31	NFLX	1.47338
2011-11-30	AMZN	2.00697
2011-11-30	MSFT	3.02511
2011-11-30	NFLX	1.15835
2011-12-30	AMZN	1.80668
2011-12-30	MSFT	3.07005
2011-12-30	NFLX	1.2438
2012-01-31	AMZN	1.84018
2012-01-31	MSFT	3.43197
2012-01-31	NFLX	2.07794
2012-02-29	AMZN	1.70058
2012-02-29	MSFT	3.68881
2012-02-29	NFLX	1.91423
2012-03-30	AMZN	1.91655
2012-03-30	MSFT	3.74867
2012-03-30	NFLX	1.98874
2012-04-30	AMZN	2.03006
2012-04-30	MSFT	3.67822
2012-04-30	NFLX	1.32577
2012-05-31	AMZN	1.86382
2012-05-31	MSFT	3.35366
2012-05-31	NFLX	1.0495
2012-06-29	AMZN	1.99898
2012-06-29	MSFT	3.5145
2012-06-29	NFLX	1.13296
2012-07-31	AMZN	1.94109
2012-07-31	MSFT	3.3465
2012-07-31	NFLX	0.91342
2012-08-31	AMZN	2.06564
2012-08-31	MSFT	3.4998
